CustomerID,Age,Gender,Region,Income,Months_Subscribed,Total_Spend,Customer_Service_Calls,Rating_Score,Payment_Method,Churn
CUST-00060,51,Female,West,64402,11,1209,3,4.7,Bank Transfer,0
CUST-00061,34,Male,North,67370,42,2381.54,2,4.7,PayPal,0
CUST-00062,37,Male,West,101172,8,1141.14,2,3,Bank Transfer,0
CUST-00063,26,Male,West,66618,33,889.27,1,2.4,PayPal,0
CUST-00064,25,Male,South,41473,10,898.65,0,4.1,PayPal,0
CUST-00065,49,Male,East,93591,18,1274.06,2,1.1,Credit Card,0
CUST-00066,56,Male,South,69878,35,2450.74,2,2.9,Credit Card,0
CUST-00067,39,Female,West,75784,43,2371.31,2,5,Credit Card,0
CUST-00068,52,Female,South,115189,50,2177.37,1,5,Credit Card,0
CUST-00069,44,female,South,74485,3,1377.31,2,4.5,Credit Card,0
CUST-00070,32,Male,East,82229,40,1966.76,2,,Credit Card,0
CUST-00071,44,Female,East,45526,27,2126.03,1,2,Credit Card,0
CUST-00072,58,Male,North,69508,59,2871.13,3,3.3,Credit Card,0
CUST-00073,39,Female,North,90238,28,1914.69,4,3.7,PayPal,0
CUST-00074,58,Female,South,36115,46,2674.55,0,3.3,Credit Card,0
CUST-00075,18,Male,South,80021,6,837.81,4,3.6,Bank Transfer,0
CUST-00076,49,Female,West,77519,47,1766.04,1,5,Credit Card,0
CUST-00077,41,Female,East,76032,14,1340.58,4,,Credit Card,0
CUST-00078,36,Male,West,100928,7,961.93,2,3.7,PayPal,0
CUST-00079,41,Male,East,83360,10,1478.9,5,4.7,Bank Transfer,1
CUST-00080,18,Female,East,111951,15,1245.73,2,2.6,Credit Card,0
CUST-00081,37,Non-Binary,West,50160,31,1697.27,0,3.2,Credit Card,0
CUST-00082,44,Female,South,78398,29,1054.93,2,3.3,Bank Transfer,0
CUST-00083,57,M,North,77111,42,2359.7,3,4.1,Credit Card,0
CUST-00084,33,Male,North,48268,54,1378.73,2,3.7,Credit Card,0
CUST-00085,30,Male,North,98907,17,1800.42,1,,Credit Card,0
CUST-00086,33,Male,South,133116,59,3052.21,1,3.3,Credit Card,0
CUST-00087,50,Male,West,74574,51,2421.85,3,2.9,Credit Card,0
CUST-00088,43,Male,West,87625,29,1848.17,2,4.6,Credit Card,0
CUST-00089,33,Female,East,77112,49,1928.73,3,3.7,Credit Card,0
CUST-00090,46,Male,East,57160,44,1644.19,5,4.6,PayPal,0
CUST-00091,41,Female,West,29480,15,1024.91,1,2.9,Credit Card,0
CUST-00092,51,Male,South,57355,26,2538.12,1,3.3,Bank Transfer,0
CUST-00093,31,Female,West,40201,12,1025.66,3,3.8,Credit Card,1
CUST-00094,36,Male,East,117602,25,1000.14,2,3.9,PayPal,1
CUST-00095,35,Male,North,72122,41,981.43,2,4.8,Bank Transfer,0
CUST-00096,22,Female,North,66352,5,57.72,2,3.6,Credit Card,1
CUST-00097,43,Female,East,97228,4,927.34,1,4.7,PayPal,0
CUST-00098,43,Female,South,46956,44,2497.68,5,4.4,Credit Card,0
CUST-00099,40,Non-Binary,South,55828,48,1467.4,0,3.9,Credit Card,0
CUST-00100,37,Male,East,76701,41,2589.38,2,3,PayPal,0
CUST-00101,23,Male,East,100719,57,2348.32,2,4.8,PayPal,0
CUST-00102,34,Female,North,87542,31,1894.43,1,3.1,PayPal,0
CUST-00103,35,Male,East,81208,3,1159.06,0,4,PayPal,0
CUST-00104,30,Female,North,76952,53,2405.09,0,3.9,Bank Transfer,0
CUST-00105,38,Female,East,85005,3,774.34,1,3.8,Bank Transfer,0
CUST-00106,44,Female,South,80041,26,423,1,3.6,Bank Transfer,0
CUST-00107,62,Female,North,49250,50,1922.07,3,3.2,Credit Card,0
CUST-00108,42,Female,North,76151,17,881.82,2,2.4,Credit Card,0
CUST-00109,43,Female,North,48157,10,1176.07,2,5,PayPal,0
CUST-00110,39,Male,North,77027,2,1034.75,1,3.5,PayPal,0
CUST-00111,18,Female,South,62983,24,1058.73,1,3.9,Bank Transfer,0
CUST-00112,39,M,South,138484,11,2335.18,3,3.9,Credit Card,0
CUST-00113,40,Female,West,74002,24,1149.65,2,5,Credit Card,0
CUST-00114,69,Female,East,39894,35,751.6,0,5,Credit Card,0
CUST-00115,37,Male,South,71645,23,1462.95,2,4.2,Credit Card,0
CUST-00116,43,Female,North,87983,32,2364.51,2,3.8,Credit Card,0
CUST-00117,39,Female,North,116834,23,1792.75,3,2.9,PayPal,1
CUST-00118,25,Male,East,60263,34,1323,1,2.6,PayPal,0
CUST-00119,53,Female,South,35439,41,1952.42,2,2.2,Bank Transfer,0
CUST-00120,49,Male,South,95420,19,2461.55,1,3.2,Credit Card,0
CUST-00121,49,Male,South,40485,2,404.86,2,1.9,Credit Card,0
CUST-00122,29,Female,East,64096,51,2000.92,3,5,PayPal,0
CUST-00123,56,Male,North,68559,2,1387.77,2,4.4,Credit Card,0
CUST-00124,23,Male,South,73259,15,1198.24,1,3.7,Bank Transfer,0
CUST-00125,47,Male,South,92229,56,2307.21,1,5,Credit Card,0
CUST-00126,66,Male,South,57909,21,1361.38,1,2.9,Credit Card,1
CUST-00127,28,Female,North,68156,35,1453.18,2,3.2,Credit Card,0
CUST-00128,33,Female,West,74643,5,1194.23,2,2.1,Bank Transfer,0
CUST-00129,41,Male,South,78739,43,2215.58,4,4.8,Credit Card,0
CUST-00130,33,Female,North,77445,27,2539.58,3,3.2,PayPal,0
CUST-00131,21,Female,East,85900,24,571.11,3,4,PayPal,0
CUST-00132,40,Female,North,96095,7,2034.43,2,5,PayPal,0
CUST-00133,27,Female,East,84815,6,841.84,2,5,Credit Card,0
CUST-00134,45,Female,North,86339,46,2086.4,1,4,PayPal,0
CUST-00135,28,Male,South,35444,33,1811.59,1,4.4,Credit Card,0
CUST-00136,58,Non-Binary,South,76255,58,2937.48,0,3.1,PayPal,0
CUST-00137,30,Female,West,86987,49,2638.24,0,5,PayPal,0
CUST-00138,36,Female,East,93223,17,2038.5,3,3.8,Credit Card,0
CUST-00139,49,Non-Binary,East,57691,46,2008.54,0,4.1,Credit Card,0
CUST-00140,25,Female,East,58524,42,2386.44,3,3.6,Bank Transfer,0
CUST-00141,42,Female,East,60647,30,1258.66,2,5,PayPal,0
CUST-00142,55,Female,North,88410,8,1139.4,3,4.2,Bank Transfer,0
CUST-00143,20,M,South,100847,40,1713.23,3,4.8,PayPal,0
CUST-00144,42,Male,South,64813,46,1730.75,2,4.4,Bank Transfer,0
CUST-00145,43,Female,West,97699,7,1223.42,0,3.8,PayPal,0
CUST-00146,49,Male,South,78086,6,1578.64,2,4.9,Credit Card,0
CUST-00147,25,Female,West,71892,4,1135.13,1,4.3,Credit Card,0
CUST-00148,24,Male,North,69715,1,406.98,1,3,PayPal,0
CUST-00149,46,Male,West,93665,15,1055.56,1,3,Credit Card,0
CUST-00150,43,Female,North,83139,31,1293.02,1,4.1,Credit Card,0
CUST-00151,43,Female,North,131895,25,1858.87,0,4.9,Credit Card,0
CUST-00152,44,Non-Binary,North,53694,47,1193.05,2,5,PayPal,0
CUST-00153,31,Male,East,87952,33,1229.46,0,2.2,PayPal,0
CUST-00154,42,Female,East,61769,52,1899.43,1,4,PayPal,0
CUST-00155,43,Male,North,53267,35,2199.02,2,4.5,Bank Transfer,0
CUST-00156,31,Male,North,74728,55,2092.55,3,4.3,Bank Transfer,0
CUST-00157,62,Female,South,78433,5,1740.09,3,5,Credit Card,0
CUST-00158,45,male,West,147954,5,1508.56,0,4.7,PayPal,0
CUST-00159,25,Female,North,70396,36,1364.83,1,3,Credit Card,0
CUST-00160,47,Male,East,46745,17,1012.15,1,3,Credit Card,0
CUST-00161,28,Male,East,81825,53,1531.1,0,4.3,Credit Card,0
CUST-00162,49,Male,West,23133,52,3207.26,2,5,Credit Card,0
CUST-00163,53,Male,East,72701,14,1898.76,0,4.1,Credit Card,0
CUST-00164,30,Female,East,75400,58,2528.86,0,2.4,PayPal,0
CUST-00165,51,Male,North,94865,29,1157.67,0,3,Credit Card,0
CUST-00166,44,Non-Binary,West,99340,8,1010.89,2,4.7,Credit Card,0
CUST-00167,49,Female,North,62410,34,1264.38,1,3.7,Credit Card,0
CUST-00168,62,Male,South,71234,40,2139.95,2,4.1,Credit Card,0
CUST-00169,37,Female,South,55846,1,310.58,1,5,Bank Transfer,0
CUST-00170,30,Male,West,46798,29,1023.84,3,2.8,PayPal,0
CUST-00171,29,Male,North,82747,36,1253.16,3,3.6,Credit Card,0
CUST-00172,30,Female,South,43160,51,1770.92,1,3.5,Credit Card,0
CUST-00173,39,Male,West,64634,37,1773.88,1,4.4,PayPal,0
CUST-00174,44,Male,North,50120,29,1408.97,3,4.8,Credit Card,0
CUST-00175,43,Male,West,88742,5,1865.16,0,,Bank Transfer,0
CUST-00176,49,Female,South,120035,53,2920.73,1,4,Bank Transfer,0
CUST-00177,40,Female,South,42460,32,1120.78,0,4.9,Bank Transfer,0
CUST-00178,57,Female,West,28674,52,2276.17,1,2.1,Credit Card,0
CUST-00179,36,Female,North,71877,24,1069.05,4,3.9,PayPal,0
CUST-00180,72,Non-Binary,North,75392,19,1474.4,2,2.8,Credit Card,0
CUST-00181,47,Male,North,80466,12,1511.93,2,3.4,Bank Transfer,0
CUST-00182,29,Male,East,63841,52,2342.03,3,1.5,Credit Card,0
CUST-00183,27,Female,East,69984,1,451.2,1,5,Credit Card,0
CUST-00184,45,Female,East,84187,7,593.5,2,3.6,Credit Card,0
CUST-00185,37,Male,South,101010,17,1443.9,0,3.2,PayPal,0
CUST-00186,48,Female,South,26123,34,1777.93,2,4.3,Credit Card,0
CUST-00187,45,Female,South,65776,43,1634.74,3,3,Credit Card,1
CUST-00188,39,Male,South,80345,7,1475,0,2.9,PayPal,0
CUST-00189,29,Female,East,52050,17,1394.9,3,5,Credit Card,0
CUST-00190,21,Male,South,118279,59,2049.96,1,5,Bank Transfer,0
CUST-00191,34,Female,West,59114,3,1375.65,5,3.4,Credit Card,0
CUST-00192,50,Female,East,73967,29,2275.2,2,5,Bank Transfer,0
CUST-00193,42,Male,West,88900,22,2548.33,2,4.4,PayPal,0
CUST-00194,25,Non-Binary,East,60217,38,2456.96,5,2.6,Credit Card,0
CUST-00195,42,Male,East,28835,54,1562.87,2,3.1,Credit Card,0
CUST-00196,44,Female,East,64283,43,2398.91,2,5,Bank Transfer,0
CUST-00197,29,Female,North,100736,29,2058.49,0,2.6,Credit Card,0
CUST-00198,41,Male,North,66577,50,1918.64,0,5,PayPal,0
CUST-00199,40,Male,West,53839,50,2246.66,2,3.4,PayPal,0
CUST-00200,26,Male,North,98141,54,1261.89,2,5,PayPal,0
CUST-00201,44,Female,East,66730,42,970.96,2,3.7,Credit Card,0
CUST-00202,46,Female,North,62245,5,138.9,2,4.8,Bank Transfer,0
CUST-00203,52,Female,West,78736,30,1958.31,3,5,PayPal,0
CUST-00204,52,Male,North,94268,23,1884.59,0,5,PayPal,0
CUST-00205,23,Male,West,134542,55,2240.77,2,3.4,Bank Transfer,0
CUST-00206,28,Male,South,95680,21,2243.98,2,3.1,Bank Transfer,0
CUST-00207,46,F,West,103995,56,2973.51,0,3.9,Credit Card,0
CUST-00208,46,M,North,62350,26,722.59,2,2.7,Bank Transfer,0
CUST-00209,46,Male,East,49353,54,2070.78,2,4.2,PayPal,0
CUST-00210,80,Female,South,76558,47,1987.95,2,3.2,Credit Card,0
CUST-00211,46,Female,West,77679,21,1680.39,2,5,Credit Card,0
CUST-00212,53,Male,West,48037,20,1354.9,5,3.4,PayPal,0
CUST-00213,51,Male,East,70617,23,1096.6,3,2.3,PayPal,1
CUST-00214,47,Female,West,84982,4,1942.15,2,5,Credit Card,0
CUST-00215,36,Male,West,84009,21,1433.74,0,4.2,Credit Card,0
CUST-00216,49,Female,West,87607,21,1345.02,0,4,Bank Transfer,0
CUST-00217,30,Male,East,82274,1,709.8,1,5,Credit Card,0
CUST-00218,37,Non-Binary,West,62324,15,1965.95,1,4.9,Bank Transfer,0
CUST-00219,34,Male,South,62152,17,1631.4,4,,PayPal,0
CUST-00220,40,Female,East,45026,51,1918.95,1,3.6,Credit Card,0
CUST-00221,67,Male,East,119619,14,1222.05,2,2.9,PayPal,0
CUST-00222,18,Male,West,75336,59,1713.58,4,2.5,PayPal,0
CUST-00223,48,M,East,69378,19,1160.82,1,4.6,Bank Transfer,0
CUST-00224,20,Female,North,51780,50,2062.48,2,4.4,Credit Card,0
CUST-00225,34,Female,South,148391,34,2410.22,5,4.8,Credit Card,0
CUST-00226,53,Female,South,48166,6,658.06,1,5,PayPal,0
CUST-00227,40,M,West,64278,45,2346.77,2,4.8,Credit Card,0
CUST-00228,27,Female,West,85395,49,1567.67,0,4.9,Bank Transfer,0
CUST-00229,31,Female,South,90005,6,704.14,1,1.9,PayPal,0
CUST-00230,48,Male,East,98948,53,1674.98,0,3.7,Credit Card,0
CUST-00231,31,Female,West,120190,54,1621.3,1,5,Credit Card,0
CUST-00232,42,Male,East,87653,5,623.55,1,2.8,Credit Card,0
CUST-00233,40,Female,East,48599,7,905.13,0,4.1,Bank Transfer,0
CUST-00234,32,Female,South,68576,33,1090.89,2,4.5,Credit Card,0
CUST-00235,65,Female,East,82695,13,2237.52,1,4.4,PayPal,0
CUST-00236,47,Female,South,126705,51,2012.28,1,4.4,PayPal,0
CUST-00237,18,Male,South,40054,54,1922.24,2,4.6,PayPal,0
CUST-00238,42,Female,East,105064,1,1730.44,0,4.2,Credit Card,0
CUST-00239,32,Male,West,79497,13,1188.74,1,2.5,PayPal,0
CUST-00240,50,Male,West,95945,43,1972.77,1,4.5,PayPal,0
CUST-00241,30,Non-Binary,North,72450,27,1510.75,2,4.3,Credit Card,0
CUST-00242,38,Female,North,53939,7,643.83,2,2.6,PayPal,0
CUST-00243,46,Female,North,93771,52,1828.45,3,5,PayPal,0
CUST-00244,50,female,East,91360,3,1438.15,3,4.5,Bank Transfer,0
CUST-00245,25,Female,North,99301,58,2004.95,0,2.6,PayPal,0
CUST-00246,35,Male,East,74667,25,1916.71,2,3.2,Bank Transfer,1
CUST-00247,34,F,South,60004,33,1963.15,0,3.4,PayPal,0
CUST-00248,32,Male,North,36030,40,1683.31,0,3.4,Bank Transfer,0
CUST-00249,61,Male,North,95484,17,2097.86,2,4.3,Credit Card,0
CUST-00250,44,female,South,85597,45,1820.96,1,3,Credit Card,0
CUST-00251,24,Female,East,50855,14,1336.16,1,5,Credit Card,0
CUST-00252,51,Female,West,61535,37,2231.96,1,5,Credit Card,0
CUST-00253,65,Female,North,63331,58,2365.94,3,4.6,Bank Transfer,0
CUST-00254,52,Female,South,37925,56,1994.77,3,4,Credit Card,0
CUST-00255,21,Female,East,54557,54,2097.3,2,4.9,Bank Transfer,0
CUST-00256,34,Female,South,46654,23,2232.39,0,3.7,Credit Card,0
CUST-00257,55,Male,South,64688,59,2332.32,3,3.3,Bank Transfer,0
CUST-00258,31,Male,East,56532,24,1067.27,1,5,Credit Card,0
CUST-00259,45,Male,North,34324,29,2035.82,3,4.3,PayPal,0
CUST-00260,49,Non-Binary,East,125564,38,2201.89,6,3.3,PayPal,1
CUST-00261,28,Male,West,106313,59,2819.58,1,3.6,PayPal,0
CUST-00262,39,Non-Binary,North,55524,54,2854.94,3,3.3,PayPal,0
CUST-00263,18,Female,North,81810,27,410.54,4,5,Credit Card,0
CUST-00264,27,M,West,85436,38,1728.39,1,4,Bank Transfer,0
CUST-00265,36,Male,South,104777,53,2193.98,2,4.2,Bank Transfer,1
CUST-00266,25,Non-Binary,West,54534,40,1141.5,2,4.7,Bank Transfer,0
CUST-00267,59,Female,South,102302,45,1367.19,0,2.8,Credit Card,0
CUST-00268,22,Male,West,61302,50,1080.76,5,5,Credit Card,0
CUST-00269,34,Male,North,41603,23,1275.2,1,3.4,PayPal,0
CUST-00270,41,Male,West,93103,31,1483.5,3,5,PayPal,0
CUST-00271,57,Female,South,107268,36,1705.42,4,3.7,Credit Card,0
CUST-00272,22,Female,North,139697,17,1490.7,0,5,Credit Card,0
CUST-00273,53,Female,East,45006,37,1433.96,1,1.5,Credit Card,0
CUST-00274,40,Male,North,92472,3,1682.45,2,,PayPal,1
CUST-00275,28,Female,West,64754,36,1293.33,1,3.7,Credit Card,0
CUST-00276,45,Male,East,94583,55,3150.58,1,2,PayPal,0
CUST-00277,42,Male,South,38237,5,821.18,3,4.6,Credit Card,0
CUST-00278,32,female,South,43430,46,1461.2,3,4.3,Credit Card,0
CUST-00279,40,Female,East,55603,15,790.73,2,3,Credit Card,0
CUST-00280,35,Male,East,76974,52,2891.77,1,4,Credit Card,0
CUST-00281,41,Female,West,58972,49,2377.78,1,,PayPal,0
CUST-00282,47,Male,South,91476,6,797.67,4,1.9,Credit Card,0
CUST-00283,59,Female,West,100672,59,2727.9,3,2.7,Bank Transfer,0
CUST-00284,25,Female,East,89989,10,50,2,3.7,PayPal,0
CUST-00285,65,Male,North,115469,54,2011.54,1,4,Bank Transfer,0
CUST-00286,18,male,North,85395,32,1131.83,1,3.9,Credit Card,0
CUST-00287,38,Male,North,44577,23,890.48,5,4.9,Credit Card,0
CUST-00288,47,Male,North,109084,48,2921.93,2,4.5,PayPal,0
CUST-00289,43,F,West,59871,17,297.26,2,4.7,PayPal,0
CUST-00290,32,Male,West,97760,46,1344.9,2,2.6,Credit Card,0
CUST-00291,37,Female,South,114343,20,1767.91,2,4.1,Bank Transfer,0
CUST-00292,34,Male,West,86417,44,2087.22,4,3.7,PayPal,0
CUST-00293,32,Male,East,37596,41,1458.09,1,5,Bank Transfer,0
CUST-00294,50,Male,East,52044,15,2261.46,0,4.2,Credit Card,0
CUST-00295,44,Female,North,108068,44,2489.04,0,3.3,Bank Transfer,0
CUST-00296,31,Female,East,70771,46,2525.27,1,4.9,Credit Card,0
CUST-00297,50,Male,West,76989,58,2409.54,3,,Credit Card,0
CUST-00298,43,Male,West,93970,22,1278.06,1,3.2,Bank Transfer,0
CUST-00299,49,Male,West,92408,50,2035.98,2,3.7,PayPal,0
CUST-00300,47,Male,South,81969,52,2743.68,2,3.7,Credit Card,0
CUST-00301,30,Male,South,69783,6,1285.29,3,5,PayPal,0
CUST-00302,33,Male,South,67183,4,756.61,1,4.2,PayPal,0
CUST-00303,48,Male,South,96447,58,2748.03,4,4.7,Credit Card,0
CUST-00304,47,Female,North,88839,23,2070.5,1,3.5,Credit Card,0
CUST-00305,39,Female,West,68567,44,1650.87,4,4.3,Bank Transfer,0
CUST-00306,41,Male,North,102052,45,1973.56,2,5,Credit Card,0
CUST-00307,55,Male,West,71774,19,1707.19,5,3.6,Credit Card,1
CUST-00308,32,Female,West,53708,54,1144.21,3,4.1,PayPal,0
CUST-00309,46,Female,East,56025,45,2197.92,1,2.6,PayPal,0
CUST-00310,37,Male,West,50531,31,935.13,1,3.2,Bank Transfer,0
CUST-00311,37,Female,West,68189,44,2381.77,1,3.7,Credit Card,0
CUST-00312,53,Male,North,105843,52,3533.11,2,2.9,PayPal,0
CUST-00313,49,Male,South,54872,3,590.78,0,5,Credit Card,0
CUST-00314,49,Female,North,79711,28,1013.73,0,3.2,Bank Transfer,0
CUST-00315,55,Male,East,58582,3,927.96,2,4.8,Credit Card,0
CUST-00316,40,Male,North,68492,14,1059.83,1,4.2,PayPal,0
CUST-00317,48,Non-Binary,North,37248,18,1546.6,5,4,Credit Card,0
CUST-00318,36,Non-Binary,West,69486,27,1599.46,1,5,Bank Transfer,0
CUST-00319,43,Female,West,70157,51,2007.62,1,1.7,Credit Card,1
CUST-00320,38,Female,West,88507,10,1217.84,2,3.8,PayPal,0
CUST-00321,41,M,South,80582,49,1576.83,0,,PayPal,0
CUST-00322,47,Male,West,45040,15,1584.81,1,2,Credit Card,0
CUST-00323,30,Non-Binary,West,102104,19,2194.5,1,2.8,Credit Card,0
CUST-00324,65,Female,North,80257,9,777.49,2,4,Credit Card,0
CUST-00325,27,Female,South,79959,4,80.17,2,3.3,PayPal,0
CUST-00326,25,Female,North,74770,15,897.81,1,4.9,PayPal,0
CUST-00327,53,Female,West,62056,51,1604.54,0,,Bank Transfer,0
CUST-00328,49,Male,East,80445,48,1554.12,1,3.7,Credit Card,0
CUST-00329,47,Female,North,86889,8,503.44,3,3.7,PayPal,0
CUST-00330,47,Female,West,31327,49,1854.83,2,3.9,Credit Card,0
CUST-00331,39,Male,North,61530,53,1916.94,2,3.6,Credit Card,0
CUST-00332,29,Female,South,68626,1,944.76,3,3.1,PayPal,0
CUST-00333,40,Female,North,81404,7,800.51,2,,Bank Transfer,1
CUST-00334,31,M,East,104832,53,1650.84,1,,Credit Card,0
CUST-00335,51,Male,West,55706,31,1655.09,3,3.6,Credit Card,0
CUST-00336,38,Male,South,62550,18,713.47,1,4.4,PayPal,0
CUST-00337,30,Female,South,62186,12,1267.02,2,4.3,Credit Card,0
CUST-00338,36,Female,East,54961,48,1101.69,0,3.1,PayPal,0
CUST-00339,44,Female,North,66320,30,539.16,0,4.8,PayPal,0
CUST-00340,33,Female,North,94270,33,921.46,5,4.5,Credit Card,0
CUST-00341,30,F,West,48654,59,1909.11,1,4.2,Credit Card,0
CUST-00342,42,Female,West,85695,47,1979.91,3,3.6,PayPal,0
CUST-00343,42,Female,South,32452,7,925.73,4,3.6,Credit Card,0
CUST-00344,33,Male,West,60966,28,1152.48,1,3.8,Bank Transfer,0
CUST-00345,34,Male,West,66762,49,1575.56,0,2.8,Credit Card,0
CUST-00346,42,Male,East,116871,3,1895.99,1,4,Credit Card,0
CUST-00347,22,Female,South,68129,43,2320.09,3,4.9,Credit Card,0
CUST-00348,23,F,North,19968,6,1072.94,0,4.9,PayPal,0
CUST-00349,31,Male,South,25027,31,1464.58,1,3.6,PayPal,0
CUST-00350,37,Female,East,75850,38,1993.5,0,5,Credit Card,0
CUST-00351,43,Female,South,90344,15,954.12,2,5,Credit Card,0
CUST-00352,57,Male,North,84386,7,1339.11,1,3.7,PayPal,0
CUST-00353,50,Male,East,79189,43,1601.01,2,4.7,PayPal,0
CUST-00354,38,Male,East,104056,30,1223.64,0,1.7,PayPal,0
CUST-00355,39,Female,West,61510,27,663.81,1,2.7,Credit Card,0
CUST-00356,27,Female,North,97372,17,1484.9,1,4.1,Bank Transfer,0
CUST-00357,39,Male,North,34199,55,2117.83,1,3,Credit Card,0
CUST-00358,36,Male,North,52376,18,1020.44,1,5,PayPal,0
CUST-00359,43,Female,West,29823,22,1012.21,1,4.6,PayPal,0
CUST-00360,30,Female,East,68128,56,1225.59,0,5,PayPal,0
CUST-00361,46,Male,East,73843,53,2382.41,2,4,Bank Transfer,0
CUST-00362,58,Male,East,77852,26,1561.49,2,3,Bank Transfer,0
CUST-00363,38,Female,West,76547,51,2585.73,2,3.5,Bank Transfer,0
CUST-00364,44,Male,East,51811,27,1547.16,1,,PayPal,0
CUST-00365,48,Male,North,70243,40,2284.11,8,3.4,Credit Card,0
CUST-00366,35,Male,South,37563,24,1234.19,6,4.7,PayPal,1
CUST-00367,42,F,North,109080,52,2456.24,0,,PayPal,0
CUST-00368,40,Male,North,67409,8,1502.61,0,4,Credit Card,0
CUST-00369,41,Female,East,62777,21,1252.69,2,2.2,Bank Transfer,0
CUST-00370,30,Female,West,114723,29,1934.54,2,5,Credit Card,0
CUST-00371,40,Female,North,43943,43,1572.95,3,3.8,Credit Card,0
